pair_id,round,left_child,right_child
N249,1,34,32
N249,2,34,32
N249,3,34,32
N250,1,03,37
N250,2,03,37
N250,3,37,03
N251,1,15,36
N251,2,15,36
N251,3,15,36
N252,1,05,07
N252,2,05,07
N252,3,05,07
N253,1,20,26
N253,2,20,26
N254,1,33,06
N254,2,33,06
N254,3,33,06
N255,1,17,12
N255,2,17,12
N255,3,17,12
N255,4,17,12
N256,1,25,30
N256,2,25,30
N256,3,30,25
N257,1,10,35
N257,2,10,35
N257,3,10,35
N258,1,27,29
N258,2,29,27
N258,3,29,27
N260,1,08,11
N260,2,08,11
N260,3,08,11
N260,4,08,11
N261,1,09,01
N261,2,09,01
N261,3,09,01
N262,1,23,14
N262,2,14,23
N262,3,14,23
N332,1,31,39
N332,2,31,39
N332,3,31,39
N333,1,19,16
N333,2,19,16
N334,1,04,21
N335,1,38,13
N335,2,13,38
N335,3,13,38
P203,1,32,20
P203,2,32,20
P203,3,32,20
P237,1,25,35
P237,2,25,35
P237,3,35,25
P239,1,30,27
P239,2,30,27
P239,3,27,30
P240,1,34,23
P240,2,34,23
P241,1,12,26
P241,2,12,26
P241,3,12,26
P241,4,26,12
P241,5,12,26
P242,1,10,33
P242,2,10,33
P242,3,10,33
P243,1,05,36
P243,2,36,05
P243,3,36,05
P243,4,36,05
P244,1,15,29
P244,2,15,29
P244,3,15,29
P245,1,17,37
P245,2,17,37
P245,3,37,17
P246,1,09,14
P246,2,14,09
P246,3,14,09
P248,1,11,18
P248,2,11,18
P248,3,11,18
P263,1,07,02
P263,2,07,02
P263,3,07,02
P264,1,01,03
P264,2,03,01
P264,3,03,01
P264,4,03,01
P265,1,06,08
P265,2,06,08
P265,3,06,08
P314,1,16,38
P314,2,16,38
P314,3,16,38
P315,1,04,39
P315,2,04,39
P316,1,13,19
P316,2,13,19
P316,3,13,19
P317,1,31,28
P317,2,31,28
P317,3,31,28
P318,1,21,24
P318,2,21,24
P318,3,21,24
